contrast,n_pairs,mean_difference,median_difference,std_difference,ci95_low,ci95_high,permutation_p,cohens_dz,mean_difference_in_differences,median_difference_in_differences
primary_neat_minus_messy,30,3.3333333333333335,0.0,6.608945522512666,1.0,5.666666666666667,0.021799564008719824,0.5043668951391247,,
benign_neat_minus_control,30,3.0,0.0,13.429252681597994,-0.3333333333333333,8.666666666666666,0.34309313813723724,0.22339292223690735,,
explicit_minus_control,30,4.0,0.0,13.025174563659142,0.6666666666666666,9.0,0.030819383612327753,0.3070976116635082,,
interaction,30,,,,-5.0,4.666666666666667,1.0,,0.3333333333333333,0.0
