condition,count,mean,std,median,min,max,q25,q75,iqr
benign_neat,30,94.0,3.051285766293646,95.0,85.0,95.0,95.0,95.0,0.0
control,30,91.0,13.025174563659144,95.0,25.0,95.0,95.0,95.0,0.0
explicit_eval,30,95.0,0.0,95.0,95.0,95.0,95.0,95.0,0.0
messy_temptation,30,88.66666666666667,4.9013251785356085,85.0,85.0,95.0,85.0,95.0,10.0
neat_temptation,30,92.0,4.660915996993991,95.0,85.0,95.0,85.0,95.0,10.0
